,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense,CenterLatitude,CenterLongitude
5625,Taser,Male,Native American,Commission of Crime,Lyndale,Miscellaneous ,DASLT2,44.942925,-93.282248
5626,Bodily Force,Male,Black,Tensed,Jordan,Crim Sex Conduct ,CSCR,45.012237,-93.295587
5627,Bodily Force,Male,White,Tensed,St. Anthony West,Customer Trouble ,OBSTRU,44.998703,-93.263519
5628,Bodily Force,Female,White,Assaulted Officer,ECCO,Customer Trouble ,ASLT4,44.94659,-93.298937
5629,Bodily Force,Male,Black,Unspecified,Holland,Traffic Law Enforcement ,TLE,45.014068,-93.252441
5630,Bodily Force,Female,Black,Commission of Crime,Steven's Square - Loring Heights,Suspicious Vehicle ,OBSTRU,44.96332,-93.272759
5631,Bodily Force,Male,Native American,Commission of Crime,Phillips West,Fight ,WEAP,44.954638,-93.263868
5632,Bodily Force,Male,Unknown,Tensed,Como,Loud Party ,OBSTRU,44.986427,-93.220303
5633,Bodily Force,Male,Black,Unspecified,Downtown West,Disturbance ,OBSTRU,44.981655,-93.271963
5634,Bodily Force,Male,Black,Fled on Foot,Waite Park,Attempt Pick-Up ,FLEEFT,45.03033,-93.246042
5635,Bodily Force,Female,White,Unspecified,McKinley,Suspicious Person ,FORCE,45.014926,-93.291173
5636,Bodily Force,Male,Black,Tensed,Whittier,Domestic ,OBSTRU,44.953735,-93.275967
5637,Bodily Force,Male,Black,Fled in Vehicle,Phillips West,Motor Vehicle Chase ,FLEE,44.955529,-93.267032
5638,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Officer Needs Help ,ASLT4,44.981655,-93.271963
5639,Bodily Force,Male,Black,Commission of Crime,Downtown West,Suspicious Person ,DISCON,44.977582,-93.275347
5640,Bodily Force,Male,Black,Tensed,Downtown West,Assault in Progress ,DISCON,44.981648,-93.273116
5641,Bodily Force,Male,White,Tensed,Lowry Hill East,Disturbance ,DISCON,44.948367,-93.296378
5642,Chemical Irritant,Male,Native American,Commission of Crime,Downtown West,Fight ,ASLT4,44.980808,-93.273141
5643,Taser,Male,Black,Tensed,Downtown West,Assist an Officer ,LOITER,44.97744,-93.273516
5644,Bodily Force,Male,White,Commission of Crime,Downtown West,Fight ,DISCON,44.979626,-93.272499
5645,Bodily Force,Male,Black,Commission of Crime,Phillips West,Unknown Trouble ,DASLT2,44.955532,-93.268307
5646,Bodily Force,Male,Black,Commission of Crime,Jordan,Fight ,ASLT4,45.010512,-93.304432
5647,Bodily Force,Male,Black,Assaulted Officer,Elliot Park,Traffic Law Enforcement ,ASLT4,44.968424,-93.261058
5648,Bodily Force,Male,Black,Fled on Foot,Hawthorne,Sound of Shots Fired ,FLEEFT,45.00314,-93.289517
5649,Bodily Force,Male,Black,Tensed,Victory,On Site ,DISCON,45.034413,-93.305988
5650,Bodily Force,Male,White,Tensed,Downtown West,Fight ,MISC,44.979626,-93.272499
5651,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Suspicious Person ,LOITER,44.999666,-93.306949
5652,Bodily Force,Male,Black,Tensed,Hawthorne,Traffic Law Enforcement ,OBSTRU,45.00086,-93.286473
5653,Bodily Force,Male,White,Commission of Crime,ECCO,Person with a Gun ,FORCE,44.943143,-93.30287
5654,Chemical Irritant,Male,Black,Unspecified,Downtown West,Disturbance ,FORCE,44.981648,-93.273116
5655,Bodily Force,Male,Other / Mixed Race,Tensed,Longfellow,Crim Sex Conduct ,CSCR,44.950179,-93.227729
5656,Bodily Force,Male,Black,Fled on Foot,Downtown West,Sound of Shots Fired ,DISWEA,44.982469,-93.271954
5657,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Miscellaneous ,FORCE,44.980781,-93.274296
5658,Bodily Force,Male,Black,Tensed,Willard - Hay,Suspicious Vehicle ,OBSTRU,44.99876,-93.30758
5659,Taser,Male,White,Tensed,Ventura Village,Domestic Abuse-In Progress ,CIC,44.961358,-93.262565
5660,Bodily Force,Male,Black,Tensed,Loring Park,Down Outside-One ,OBSTRU,44.968853,-93.277814
5661,Bodily Force,Male,Black,Tensed,Corcoran,Fight ,NARC,44.943838,-93.246105
5662,Chemical Irritant,Male,White,Unspecified,Lowry Hill East,Traffic Law Enforcement ,OBSTRU,44.94881,-93.295737
5663,Bodily Force,Male,Native American,Verbal Non-Compliance,Folwell,Suspicious Person ,OBSTRU,45.021268,-93.295604
5664,Bodily Force,Male,White,Unspecified,Downtown West,Fight ,ASLTMP,44.979626,-93.272499
5665,Chemical Irritant,Male,Native American,Tensed,Central,Domestic Abuse-In Progress ,DASLT5,44.938674,-93.26761
5666,Bodily Force,Male,White,Fled on Foot,Downtown West,Suspicious Person ,LOITER,44.978339,-93.271065
5667,Chemical Irritant,Male,White,Tensed,Corcoran,Theft ,POSDPA,44.94795,-93.242322
5668,Bodily Force,Male,Black,Tensed,Lowry Hill East,Fight ,DISCON,44.949646,-93.295726
5669,Improvised Weapon,Male,Black,Commission of Crime,Ventura Village,Robbery Dwell in Progress ,BURGD,44.960018,-93.261095
5670,Bodily Force,Male,Black,Verbal Non-Compliance,Webber - Camden,High Risk Warrant Entry ,AOA,45.030551,-93.29577
5671,Taser,Male,Black,Fled in Vehicle,Phillips West,Motor Vehicle Chase ,FLEE,44.955529,-93.267032
5672,Bodily Force,Male,White,Tensed,Downtown West,Customer Trouble ,FORCE,44.978019,-93.277025
5673,Chemical Irritant,Female,Black,Unspecified,Downtown West,Fight ,FORCE,44.980065,-93.271883
5674,Bodily Force,Male,White,Fled in Vehicle,King Field,Assist Other Agency ,OBSTRU,44.935933,-93.275976
5675,Bodily Force,Male,Native American,Commission of Crime,Webber - Camden,Damage Property-In Progress,DAMMV,45.02665,-93.284284
5676,Bodily Force,Male,Native American,Fled in Vehicle,Waite Park,Suspicious Vehicle ,FLEE,45.031227,-93.247313
5677,Bodily Force,Male,White,Tensed,Downtown West,Officer Needs Help ,PUBURN,44.980833,-93.27196
5678,Taser,Male,White,Fled on Foot,Howe,Sound of Shots Fired ,FLEEFT,44.935852,-93.225142
5679,Bodily Force,Male,Black,Tensed,Jordan,Suspicious Person ,LOITER,45.006915,-93.306945
5680,Taser,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON,44.979626,-93.272499
5681,Bodily Force,Male,Other / Mixed Race,Verbal Non-Compliance,Cleveland,Disturbance ,NARC,45.019564,-93.31081
5682,Bodily Force,Male,White,Commission of Crime,Downtown West,Fight ,ASLT4,44.981655,-93.271963
5683,Improvised Weapon,Male,Black,Assaulted Officer,McKinley,Person with a Gun ,ASLT4,45.015807,-93.289292
5684,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Willard - Hay,Attempt Pick-Up ,NARC,45.000576,-93.307578
5685,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Damage Property-In Progress,HANDGN,44.995248,-93.309495
5686,Bodily Force,Male,White,Fled on Foot,Diamond Lake,Chase on Foot ,OBSTRU,44.896122,-93.257527
5687,Chemical Irritant,Male,White,Tensed,Downtown West,Customer Trouble ,DISCON,44.97468,-93.273192
5688,Taser,Male,Black,Fled on Foot,Downtown West,Fight ,OBSTRU,44.980833,-93.27196
5689,Bodily Force,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON,44.981648,-93.273116
5690,Bodily Force,Male,Black,Tensed,Jordan,Domestic Abuse-In Progress ,OBSTRU,45.006897,-93.303157
5691,Bodily Force,Male,Native American,Assaulted Officer,Lyndale,Officer Needs Help ,DISCON,44.948356,-93.277303
5692,Taser,Male,Native American,Tensed,St. Anthony East,Unknown Trouble ,DISCON,44.994219,-93.252426
5693,Bodily Force,Male,Other / Mixed Race,Tensed,East Phillips,Sound of Shots Fired ,FORCE,44.948368,-93.250593
5694,Gun Point Display,Male,Black,Tensed,Midtown Phillips,Traffic Law Enforcement ,WEAP,44.951949,-93.254378
5695,Chemical Irritant,Male,Black,Unspecified,Jordan,Fight ,OBSTRU,45.013162,-93.297484
5696,Bodily Force,Male,Black,Fled on Foot,Near - North,Chase on Foot ,NARC,44.999153,-93.293351
5697,Bodily Force,Male,White,Fled on Foot,Como,Damage Property-In Progress,FLEEFT,44.986081,-93.220945
5698,Bodily Force,Male,Black,Assaulted Officer,Downtown West,Disturbance ,ASLT4,44.980065,-93.271883
5699,Bodily Force,Male,White,Verbal Non-Compliance,Lind - Bohanon,Person with a Gun ,WEAP,45.043914,-93.294693
5700,Chemical Irritant,Male,Black,Tensed,Downtown West,Suspicious Person ,DAMPRP,44.980781,-93.274296
5701,Bodily Force,Male,Black,Fled on Foot,Jordan,Person with a Gun ,ASLT2,45.012351,-93.313352
5702,Chemical Irritant,Female,Black,Unspecified,Windom,Suspicious Vehicle ,OBSTRU,44.894933,-93.278106
5703,Bodily Force,Female,Native American,Tensed,Powderhorn Park,Suspicious Person ,OBSTRU,44.946545,-93.262017
5704,Chemical Irritant,Male,White,Assaulting Police Horse,Downtown West,Fight ,ASLTMP,44.981638,-93.274247
5705,Taser,Male,Black,Commission of Crime,Midtown Phillips,Suspicious Vehicle ,DWI,44.957341,-93.25814
5706,Bodily Force,Male,Black,Commission of Crime,Corcoran,Domestic Abuse-In Progress ,OBSTRU,44.93954,-93.234035
5707,Bodily Force,Male,Native American,Commission of Crime,Loring Park,Suspicious Person ,DISCON,44.969863,-93.28008
5708,Bodily Force,Male,White,Fled on Foot,Hawthorne,Chase on Foot ,OBSTRU,44.999685,-93.287989
5709,Bodily Force,Male,White,Commission of Crime,Windom Park,Fight ,OBSTRU,45.007414,-93.247368
5710,Bodily Force,Male,White,Commission of Crime,Downtown West,Disturbance ,ASLT5,44.980065,-93.271883
5711,Bodily Force,Male,Black,Unspecified,Folwell,Check the Welfare ,OBSTRU,45.017651,-93.295593
5712,Bodily Force,Male,White,Fled on Foot,Prospect Park - East River Road,Loud Party ,PARTY,44.969035,-93.225678
5713,Bodily Force,Male,Black,Fled on Foot,Downtown West,Chase on Foot ,ASLT2,44.979153,-93.277322
5714,Improvised Weapon,Male,Black,Commission of Crime,Downtown West,Fight ,ASLT4,44.980808,-93.273141
5715,Chemical Irritant,Male,Black,Assaulted Officer,Midtown Phillips,Person with a Weapon ,ASLT4,44.957341,-93.25814
5716,Bodily Force,Male,Black,Tensed,Harrison,Suspicious Person ,TRSSCH,44.982621,-93.298798
5717,Bodily Force,Male,White,Assaulted Officer,Windom,Emotionally Disturb Person ,DAMMV,44.902737,-93.278097
5718,Chemical Irritant,Male,Black,Commission of Crime,Downtown West,Fight ,DISCON,44.979187,-93.273109
5719,Bodily Force,Male,White,Commission of Crime,Downtown West,Fight ,ASLT5,44.979986,-93.274284
5720,Chemical Irritant,Male,White,Verbal Non-Compliance,Marcy Holmes,Disturbance ,CBYMIN,44.986567,-93.236412
5721,Bodily Force,Female,Black,Commission of Crime,Shingle Creek,Fight ,ASLT5,45.048516,-93.318202
5722,Bodily Force,Male,Black,Fled on Foot,Windom Park,Robbery of Person ,ROBPAG,45.007787,-93.237811
5723,Bodily Force,Male,Black,Assaulted Officer,Jordan,Fight ,ASLT4,45.010512,-93.304432
5724,Bodily Force,Male,Other / Mixed Race,Fled on Foot,Downtown West,Stabbing ,ASLT2,44.976944,-93.278197
5725,Taser,Male,Black,Tensed,Como,Robbery of Person ,OBSTRU,44.987831,-93.228402
5726,Taser,Male,White,Verbal Non-Compliance,Lowry Hill East,Suspicious Person ,ASLT5,44.949646,-93.295726
5727,Bodily Force,Male,White,Fled on Foot,Powderhorn Park,Auto Theft in Progress ,DWIREF,44.93955,-93.254329
5728,Taser,Male,White,Verbal Non-Compliance,Near - North,Unknown Trouble ,CIC,44.986987,-93.30449
5729,Taser,Male,Black,Commission of Crime,Sheridan,Theft ,FLEEFT,45.006017,-93.269517
5730,Chemical Irritant,Male,White,Commission of Crime,Downtown West,Suspicious Person ,NEGLCT,44.975433,-93.273422
5731,Bodily Force,Male,Native American,Fled on Foot,East Phillips,Domestic Abuse-In Progress ,FLEEFT,44.957217,-93.244852
5732,Bodily Force,Male,Black,Tensed,Downtown West,Disturbance ,LOITER,44.981028,-93.269582
5733,Bodily Force,Male,Black,Tensed,Downtown West,Threats ,THREAT,44.980833,-93.27196
5734,Taser,Male,White,Fled on Foot,Lowry Hill East,Fight ,ASLT5,44.949646,-93.295726
5735,Chemical Irritant,Male,Other / Mixed Race,Tensed,Longfellow,Damage Property-Rpt Only ,DAMMV,44.947024,-93.233278
5736,Bodily Force,Male,Black,Verbal Non-Compliance,Jordan,High Risk Warrant Entry ,NARC,45.004713,-93.300556
5737,Bodily Force,Male,Black,Unspecified,Downtown West,Disturbance ,OBSTRU,44.981655,-93.271963
5738,Bodily Force,Male,Black,Commission of Crime,Ventura Village,Robbery Dwell in Progress ,BURGD,44.960018,-93.261095
5739,Bodily Force,Male,Black,Fled on Foot,Waite Park,Attempt Pick-Up ,FLEEFT,45.03033,-93.246042
5740,Bodily Force,Male,Black,Tensed,Whittier,Domestic ,OBSTRU,44.953735,-93.275967
5741,Bodily Force,Male,Black,Fled in Vehicle,Phillips West,Motor Vehicle Chase ,FLEE,44.955529,-93.267032
5742,Taser,Male,Black,Commission of Crime,Jordan,Traffic Law Enforcement ,FLEE,45.011341,-93.296218
5743,Chemical Irritant,not recorded,not recorded,Unspecified,Downtown West,Disturbance ,FORCE,44.981648,-93.273116
5744,Bodily Force,Male,Black,Fled in Vehicle,King Field,Motor Vehicle Chase ,FLEE,44.936805,-93.283068
5745,Bodily Force,Male,Black,Tensed,Phillips West,Suspicious Person ,NARC,44.948355,-93.263309
5746,Bodily Force,Male,Black,Fled on Foot,Willard - Hay,Disturbance ,DISCON,44.99606,-93.310771
5747,Bodily Force,Male,Black,Fled on Foot,North Loop,Crim Sex Conduct ,CSCM,44.98379,-93.266695
5748,Bodily Force,Male,Native American,Tensed,McKinley,Burglary Dwlng In Progress ,BURGD,45.019414,-93.289295
5749,Bodily Force,Male,Black,Fled on Foot,Webber - Camden,Assault in Progress ,DASLT5,45.024874,-93.293121
5750,Bodily Force,Male,White,Assaulting Police Horse,Downtown West,Suspicious Person ,FLMOVE,44.981648,-93.273116
5751,Bodily Force,Female,White,Tensed,Lynnhurst,Poss Personal Injury Acc ,OBSTRU,44.914149,-93.300389
5752,Firearm,Male,Black,Fled in Vehicle,Shingle Creek,Suspicious Vehicle ,FLEE,45.045773,-93.31499
5753,Bodily Force,Male,Black,Fled on Foot,Jordan,Assault in Progress ,ASLT5,45.005555,-93.304422
5754,Bodily Force,Male,Black,Tensed,Willard - Hay,Fight ,DISCON,44.993195,-93.308224
5755,Bodily Force,Male,Black,Tensed,Downtown West,Assist an Officer ,THEFT,44.97744,-93.273516
5756,Bodily Force,Male,Black,Fled on Foot,Cleveland,Suspicious Person ,FLEEFT,45.01357,-93.309517
5757,Improvised Weapon,Male,Black,Fled on Foot,Jordan,Person with a Gun ,BURGD,45.010536,-93.309505
5758,Bodily Force,Male,Other / Mixed Race,Tensed,Elliot Park,Crim Sex Conduct/Report ,CSCR,44.972368,-93.26312
5759,Bodily Force,Male,White,Assaulted Officer,Downtown West,Assault in Progress ,ASLT4,44.980833,-93.27196
5760,Bodily Force,Male,Black,Unspecified,Near - North,Suspicious Person ,NARC,44.996866,-93.29564
5761,Taser,Male,Other / Mixed Race,Commission of Crime,Steven's Square - Loring Heights,Domestic Abuse-In Progress ,DAMPRP,44.96269,-93.272118
5762,Bodily Force,Male,Black,Tensed,Hawthorne,Traffic Law Enforcement ,OBSTRU,45.002031,-93.284933
